map,dist
0,0.8483842034295399
1,0.8021816260083355
2,0.8879034014161877
3,0.808288204403574
4,0.860741029542005
5,0.803862147064333
6,0.8432922753476615
7,0.8397827316486797
8,0.8588983648967037
9,0.8596503206979579
10,0.8076765858470647
11,0.8314354399953133
12,0.8228367045941736
13,0.8293296427995154
14,0.8601441465597058
15,0.8215516152235316
16,0.8574599782611996
17,0.8132545813083372
18,0.8147422595160726
19,0.8330817942745805
20,0.8426692079750114
21,0.8906799642181712
22,0.8112608659720864
23,0.8239247007893193
24,0.8128853378238368
25,0.804017677105604
26,0.8006101604092599
27,0.8159314712768974
28,0.8389246106741755
29,0.8497129057712886
30,0.8527488386620217
31,0.827727459199487
32,0.8306074361503528
33,0.8393685196054242
34,0.8325067096851494
35,0.8643267504739779
36,0.8341653002238091
37,0.8460901577962201
38,0.8581173563428229
39,0.8276681371733293
40,0.8340133796605652
41,0.8578674668269127
42,0.8645820824871325
43,0.864692205913928
44,0.8885813939483906
45,0.8924150352356802
46,0.8469701002292713
47,0.8407105640014007
48,0.8427684287906005
49,0.8159712336939133
50,0.8623859329301389
51,0.8119138509111214
52,0.8178020365754135
53,0.8206827013969205
54,0.821988768555814
55,0.8347904512859899
56,0.8528480203036725
57,0.8373783258931385
58,0.8651100274096991
59,0.8243202314752678
60,0.803554829948286
61,0.8148009661554146
62,0.8461059633436615
63,0.8466871134157378
64,0.8245730488023227
65,0.8790894075122958
66,0.8554931496782034
67,0.8175372625513327
68,0.8136117160886784
69,0.8798162298016562
70,0.8233694362071557
71,0.818646562541354
72,0.8565198587788808
73,0.8759413450754376
74,0.8604304637666093
75,0.8421634536594815
76,0.8089750894723606
77,0.8449263123996121
78,0.8021465404959962
79,0.8249067560187688
80,0.8520236069172868
81,0.8297623194360132
82,0.8264939108108452
83,0.8467558232387594
84,0.8124220879554965
85,0.8295798599279042
86,0.8249904926875377
87,0.817561364513442
88,0.814744003652183
89,0.8541330828347131
90,0.8693495094739915
91,0.8176198422483216
92,0.8359825786050149
93,0.8631280241252733
94,0.8149592170128404
95,0.8164575842323284
96,0.8146729535374194
97,0.8180549485888575
98,0.8042081094415067
99,0.8117250814814343
